State,State ANSI,Zip Code,Value
MINNESOTA,27,55431,16
MINNESOTA,27,55432,12
MINNESOTA,27,55433,6
MINNESOTA,27,55434,14
MINNESOTA,27,55435,8
MINNESOTA,27,55436,21
MINNESOTA,27,55437,19
MINNESOTA,27,55438,21
MINNESOTA,27,55439,8
MINNESOTA,27,55441,15
MINNESOTA,27,55442,11
MINNESOTA,27,55443,19
MINNESOTA,27,55444,5
MINNESOTA,27,55445,12
MINNESOTA,27,55446,31
MINNESOTA,27,55447,25
MINNESOTA,27,55448,6
MINNESOTA,27,55449,24
MINNESOTA,27,55455,1
MINNESOTA,27,55602,1
MINNESOTA,27,55603,3
MINNESOTA,27,55604,21
MINNESOTA,27,55606,1
MINNESOTA,27,55612,5
MINNESOTA,27,55614,14
MINNESOTA,27,55616,41
MINNESOTA,27,55702,5
MINNESOTA,27,55703,22
MINNESOTA,27,55704,60
MINNESOTA,27,55705,30
MINNESOTA,27,55706,3
MINNESOTA,27,55707,80
MINNESOTA,27,55709,48
MINNESOTA,27,55710,7
MINNESOTA,27,55711,18
MINNESOTA,27,55712,14
MINNESOTA,27,55713,3
MINNESOTA,27,55717,4
MINNESOTA,27,55718,46
MINNESOTA,27,55719,15
MINNESOTA,27,55720,54
MINNESOTA,27,55721,43
MINNESOTA,27,55722,1
MINNESOTA,27,55723,40
MINNESOTA,27,55724,24
MINNESOTA,27,55726,35
MINNESOTA,27,55731,11
MINNESOTA,27,55732,28
MINNESOTA,27,55733,29
MINNESOTA,27,55734,14
MINNESOTA,27,55735,57
MINNESOTA,27,55736,63
MINNESOTA,27,55738,20
MINNESOTA,27,55741,27
MINNESOTA,27,55742,12
MINNESOTA,27,55744,115
MINNESOTA,27,55746,56
MINNESOTA,27,55748,22
MINNESOTA,27,55749,21
MINNESOTA,27,55751,48
MINNESOTA,27,55752,25
MINNESOTA,27,55756,13
MINNESOTA,27,55757,57
MINNESOTA,27,55760,50
MINNESOTA,27,55763,10
MINNESOTA,27,55765,32
MINNESOTA,27,55767,54
MINNESOTA,27,55768,22
MINNESOTA,27,55769,16
MINNESOTA,27,55771,28
MINNESOTA,27,55772,1
MINNESOTA,27,55779,52
MINNESOTA,27,55780,11
MINNESOTA,27,55782,1
MINNESOTA,27,55783,64
MINNESOTA,27,55784,3
MINNESOTA,27,55785,11
MINNESOTA,27,55786,2
MINNESOTA,27,55787,22
MINNESOTA,27,55790,15
MINNESOTA,27,55792,15
MINNESOTA,27,55793,13
MINNESOTA,27,55795,28
MINNESOTA,27,55797,46
MINNESOTA,27,55798,37
MINNESOTA,27,55803,45
MINNESOTA,27,55804,44
MINNESOTA,27,55805,5
MINNESOTA,27,55806,15
MINNESOTA,27,55807,1
MINNESOTA,27,55810,51
MINNESOTA,27,55811,16
MINNESOTA,27,55812,1
MINNESOTA,27,55901,70
MINNESOTA,27,55902,122
MINNESOTA,27,55903,2
MINNESOTA,27,55904,127
MINNESOTA,27,55905,1
MINNESOTA,27,55906,101
MINNESOTA,27,55909,94
MINNESOTA,27,55910,71
MINNESOTA,27,55912,307
MINNESOTA,27,55917,174
MINNESOTA,27,55918,41
MINNESOTA,27,55919,39
MINNESOTA,27,55920,142
MINNESOTA,27,55921,246
MINNESOTA,27,55922,27
MINNESOTA,27,55923,198
MINNESOTA,27,55924,85
MINNESOTA,27,55925,57
MINNESOTA,27,55926,50
MINNESOTA,27,55927,86
MINNESOTA,27,55929,80
MINNESOTA,27,55931,16
MINNESOTA,27,55932,84
MINNESOTA,27,55933,19
MINNESOTA,27,55934,127
MINNESOTA,27,55935,87
MINNESOTA,27,55936,101
MINNESOTA,27,55939,122
MINNESOTA,27,55940,138
MINNESOTA,27,55941,40
MINNESOTA,27,55943,202
MINNESOTA,27,55944,78
MINNESOTA,27,55945,87
MINNESOTA,27,55946,169
MINNESOTA,27,55947,116
MINNESOTA,27,55949,157
MINNESOTA,27,55950,4
MINNESOTA,27,55951,94
MINNESOTA,27,55952,130
MINNESOTA,27,55953,45
MINNESOTA,27,55954,76
MINNESOTA,27,55955,63
MINNESOTA,27,55956,87
MINNESOTA,27,55957,58
MINNESOTA,27,55959,39
MINNESOTA,27,55960,73
MINNESOTA,27,55961,19
MINNESOTA,27,55962,61
MINNESOTA,27,55963,208
MINNESOTA,27,55964,158
MINNESOTA,27,55965,183
MINNESOTA,27,55967,42
MINNESOTA,27,55969,44
MINNESOTA,27,55970,78
MINNESOTA,27,55971,133
MINNESOTA,27,55972,176
MINNESOTA,27,55973,24
MINNESOTA,27,55974,116
MINNESOTA,27,55975,198
MINNESOTA,27,55976,166
MINNESOTA,27,55977,27
MINNESOTA,27,55979,87
MINNESOTA,27,55981,65
MINNESOTA,27,55982,53
MINNESOTA,27,55983,82
MINNESOTA,27,55985,93
MINNESOTA,27,55987,295
MINNESOTA,27,55990,98
MINNESOTA,27,55991,61
MINNESOTA,27,55992,159
MINNESOTA,27,56001,279
MINNESOTA,27,56002,9
MINNESOTA,27,56003,87
MINNESOTA,27,56007,253
MINNESOTA,27,56009,95
MINNESOTA,27,56010,95
MINNESOTA,27,56011,183
MINNESOTA,27,56013,187
MINNESOTA,27,56014,42
MINNESOTA,27,56016,32
MINNESOTA,27,56017,54
MINNESOTA,27,56019,76
MINNESOTA,27,56021,57
MINNESOTA,27,56022,1
MINNESOTA,27,56023,38
MINNESOTA,27,56024,37
MINNESOTA,27,56025,49
MINNESOTA,27,56026,129
MINNESOTA,27,56027,36
MINNESOTA,27,56028,51
MINNESOTA,27,56029,50
MINNESOTA,27,56031,238
MINNESOTA,27,56032,3
MINNESOTA,27,56033,26
MINNESOTA,27,56034,34
MINNESOTA,27,56035,5
MINNESOTA,27,56036,133
MINNESOTA,27,56037,124
MINNESOTA,27,56039,75
MINNESOTA,27,56041,89
MINNESOTA,27,56042,52
MINNESOTA,27,56043,32
MINNESOTA,27,56044,134
MINNESOTA,27,56045,16
MINNESOTA,27,56047,2
MINNESOTA,27,56048,199
MINNESOTA,27,56050,30
MINNESOTA,27,56051,19
MINNESOTA,27,56052,62
MINNESOTA,27,56054,78
MINNESOTA,27,56055,133
MINNESOTA,27,56057,144
MINNESOTA,27,56058,172
MINNESOTA,27,56060,28
MINNESOTA,27,56062,108
MINNESOTA,27,56063,74
MINNESOTA,27,56065,131
MINNESOTA,27,56068,66
MINNESOTA,27,56069,160
MINNESOTA,27,56071,248
MINNESOTA,27,56072,135
MINNESOTA,27,56073,404
MINNESOTA,27,56074,125
MINNESOTA,27,56078,30
MINNESOTA,27,56080,10
MINNESOTA,27,56081,225
MINNESOTA,27,56082,198
MINNESOTA,27,56083,101
MINNESOTA,27,56085,388
MINNESOTA,27,56087,204
MINNESOTA,27,56088,103
MINNESOTA,27,56089,7
MINNESOTA,27,56090,52
MINNESOTA,27,56091,28
MINNESOTA,27,56093,254
MINNESOTA,27,56096,94
MINNESOTA,27,56097,177
MINNESOTA,27,56098,102
MINNESOTA,27,56101,241
MINNESOTA,27,56110,126
MINNESOTA,27,56111,54
MINNESOTA,27,56113,22
MINNESOTA,27,56114,30
MINNESOTA,27,56115,119
MINNESOTA,27,56116,44
MINNESOTA,27,56117,30
MINNESOTA,27,56118,54
MINNESOTA,27,56119,125
MINNESOTA,27,56120,102
MINNESOTA,27,56121,34
MINNESOTA,27,56122,47
MINNESOTA,27,56123,38
MINNESOTA,27,56125,4
MINNESOTA,27,56127,25
MINNESOTA,27,56128,165
MINNESOTA,27,56129,52
MINNESOTA,27,56131,188
MINNESOTA,27,56132,72
MINNESOTA,27,56134,37
MINNESOTA,27,56136,66
MINNESOTA,27,56137,105
MINNESOTA,27,56138,62
MINNESOTA,27,56139,52
MINNESOTA,27,56141,21
MINNESOTA,27,56142,72
MINNESOTA,27,56143,181
MINNESOTA,27,56144,74
MINNESOTA,27,56145,43
MINNESOTA,27,56147,22
MINNESOTA,27,56149,80
MINNESOTA,27,56150,194
MINNESOTA,27,56151,104
MINNESOTA,27,56152,135
MINNESOTA,27,56153,8
MINNESOTA,27,56155,36
MINNESOTA,27,56156,233
MINNESOTA,27,56157,40
MINNESOTA,27,56158,29
MINNESOTA,27,56159,126
MINNESOTA,27,56160,19
MINNESOTA,27,56161,35
MINNESOTA,27,56162,21
MINNESOTA,27,56164,240
MINNESOTA,27,56165,33
MINNESOTA,27,56166,15
MINNESOTA,27,56167,69
MINNESOTA,27,56168,102
MINNESOTA,27,56169,79
MINNESOTA,27,56170,44
MINNESOTA,27,56171,102
MINNESOTA,27,56172,147
MINNESOTA,27,56173,25
